RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Date,Rent_Price,Cluster,Fire_Date,Pre_Fire_Avg,Matched_ZIP
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-01-31,2339.145912,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-02-28,2354.432178,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-03-31,2410.813001,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-04-30,2431.600716,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-05-31,2445.293223,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-06-30,2490.717826,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-07-31,2529.249904,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-08-31,2525.105856,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-09-30,2538.213712,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-10-31,2547.927771,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-11-30,2582.257658,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-12-31,2568.634118,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-01-31,2557.853917,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-02-29,2554.376288,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-03-31,2597.086499,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-04-30,2649.1937589999998,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-05-31,2683.785539,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-06-30,2678.86158,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-07-31,2664.703321,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-08-31,2683.142011,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-09-30,2699.192238,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-10-31,2696.407942,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-11-30,2662.792453,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2016-12-31,2624.715642,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-01-31,2631.925791,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-02-28,2678.723997,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-03-31,2730.597076,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-04-30,2769.421704,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-05-31,2776.983862,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-06-30,2783.483903,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-07-31,2794.816533,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-08-31,2808.300868,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-09-30,2814.376049,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-10-31,2812.461704,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-11-30,2799.338568,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2017-12-31,2803.801056,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-01-31,2801.791827,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-02-28,2811.32737,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-03-31,2815.369071,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-04-30,2810.956984,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-05-31,2816.558685,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-06-30,2822.481411,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-07-31,2854.711467,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-08-31,2891.418212,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-09-30,2917.550625,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-10-31,2920.047888,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-11-30,2884.107923,Getty Fire,2019-10-31,2989.406536666667,90232
96006,1415,90025,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2018-12-31,2889.408336,Getty Fire,2019-10-31,2989.406536666667,90232
